ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
00981.HK,2026-02-11,69.85,70.0,68.25,70.0,88262555,6109846272.0,-2.17
00981.HK,2026-02-12,70.8,71.0,69.35,69.8,40928219,2866249856.0,-0.29
00981.HK,2026-02-13,69.1,71.4,68.65,70.35,49969181,3516982736.0,0.79
00981.HK,2026-02-16,70.45,70.65,69.25,69.9,7346214,514912192.0,-0.64
00981.HK,2026-02-20,69.9,70.45,67.7,67.7,13802979,944863264.0,-3.15
00981.HK,2026-02-23,68.4,71.75,68.4,71.1,23965395,1699086448.0,5.02
00981.HK,2026-02-24,69.9,70.8,68.6,69.4,51793107,3600365904.0,-2.39
00981.HK,2026-02-25,70.55,71.0,69.8,69.85,43679241,3069609616.0,0.65
00981.HK,2026-02-26,70.65,70.65,67.6,67.6,56464703,3887415312.0,-3.22
00981.HK,2026-02-27,67.6,69.0,66.45,68.0,36167811,2461828304.0,0.59
00981.HK,2026-03-02,66.6,67.6,64.55,64.6,91011720,5952804096.0,-5.0
00981.HK,2026-03-03,65.25,65.5,61.0,62.55,85167593,5347352320.0,-3.17
00981.HK,2026-03-04,61.0,63.2,60.7,61.25,60414856,3722920368.0,-2.08
00981.HK,2026-03-05,63.0,63.55,61.25,61.5,50672825,3157377088.0,0.41
00981.HK,2026-03-06,61.65,63.6,61.1,61.8,70796224,4410152704.0,0.49
00981.HK,2026-03-09,58.8,61.3,58.3,60.85,69946059,4180002240.0,-1.54
00981.HK,2026-03-10,62.35,64.2,61.8,64.2,58878832,3716928160.0,5.51
00981.HK,2026-03-11,64.5,65.4,63.35,63.75,39428906,2537643136.0,-0.7
00981.HK,2026-03-12,63.1,65.6,62.4,63.1,41020368,2614831376.0,-1.02
00981.HK,2026-03-13,62.6,62.9,61.3,62.2,40672853,2520123264.0,-1.43
00981.HK,2026-03-16,61.85,64.15,60.5,62.5,53596361,3338761952.0,0.48
00981.HK,2026-03-17,63.15,63.35,61.1,61.85,44776126,2779765472.0,-1.04
00981.HK,2026-03-18,62.3,62.7,61.1,61.7,38618450,2385622048.0,-0.24
00981.HK,2026-03-19,60.5,61.1,59.25,59.75,68178947,4095921232.0,-3.16
00981.HK,2026-03-20,59.75,60.45,56.3,56.9,86432962,5015536128.0,-4.77
00981.HK,2026-03-23,55.0,55.95,52.8,54.15,107629358,5834380288.0,-4.83
00981.HK,2026-03-24,55.05,55.2,53.1,55.2,62381777,3394617392.0,1.94
00981.HK,2026-03-25,55.6,57.7,55.6,56.5,55556759,3135582432.0,2.36
00981.HK,2026-03-26,56.0,56.1,52.9,53.15,67639023,3640332224.0,-5.93
00981.HK,2026-03-27,52.1,53.45,51.8,52.5,55576934,2930539744.0,-1.22
