date_str,tushare_close,tushare_vol,tushare_amount,akshare_raw_close,akshare_raw_vol,akshare_raw_amount,akshare_qfq_close,akshare_qfq_vol,akshare_qfq_amount,yfinance_close,yfinance_volume
2024-12-10,4.085,24827953.11,10257484.391,4.085,24827953,10257484391.0,3.874,24827953,10257484391.0,3.893756151199341,2482795311.0
2024-12-11,4.075,12587159.73,5136178.221,4.075,12587160,5136178221.0,3.864,12587160,5136178221.0,3.884224176406861,1258715973.0
2024-12-12,4.117,13601804.33,5577925.837,4.117,13601804,5577925837.0,3.906,13601804,5577925837.0,3.9242584705352783,1360180433.0
2024-12-13,4.02,23465697.29,9490500.688,4.02,23465697,9490500688.0,3.809,23465697,9490500688.0,3.831799030303955,2346569729.0
2024-12-16,3.996,9893230.74,3956401.792,3.996,9893231,3956401792.0,3.785,9893231,3956401792.0,3.80892276763916,989323074.0
2024-12-17,4.007,13646692.28,5482919.074,4.007,13646692,5482919074.0,3.796,13646692,5482919074.0,3.8194077014923096,1364669228.0
2024-12-18,4.024,10236096.17,4121893.615,4.024,10236096,4121893615.0,3.813,10236096,4121893615.0,3.8356120586395264,1023609617.0
2024-12-19,4.03,9903622.11,3977931.242,4.03,9903622,3977931242.0,3.819,9903622,3977931242.0,3.841331243515014,990362211.0
2024-12-20,4.018,12230619.86,4921231.692,4.018,12230620,4921231692.0,3.807,12230620,4921231692.0,3.829892873764038,1223061986.0
2024-12-23,4.022,14247022.0,5749434.77,4.022,14247022,5749434770.0,3.811,14247022,5749434770.0,3.833705425262451,1424702200.0
2024-12-24,4.069,14563434.27,5907574.012,4.069,14563434,5907574012.0,3.858,14563434,5907574012.0,3.878505229949951,1456343427.0
2024-12-25,4.072,14181375.0,5775975.676,4.072,14181375,5775975676.0,3.861,14181375,5775975676.0,3.8813648223876953,1418137500.0
2024-12-26,4.073,9470234.02,3855435.79,4.073,9470234,3855435790.0,3.862,9470234,3855435790.0,3.882317781448364,947023402.0
2024-12-27,4.067,10869639.1,4428609.591,4.067,10869639,4428609591.0,3.856,10869639,4428609591.0,3.876598834991455,1086963910.0
2024-12-30,4.086,13119334.62,5359063.002,4.086,13119335,5359063002.0,3.875,13119335,5359063002.0,3.894709348678589,1311933462.0
2024-12-31,4.022,18436187.88,7479851.076,4.022,18436188,7479851076.0,3.811,18436188,7479851076.0,3.833705425262451,1843618788.0
2025-01-02,3.909,21729803.38,8582891.966,3.909,21729803,8582891966.0,3.698,21729803,8582891966.0,3.725995779037475,2172980338.0
2025-01-03,3.869,15930225.99,6191152.281,3.869,15930226,6191152281.0,3.658,15930226,6191152281.0,3.687868356704712,1593022599.0
2025-01-06,3.853,12986739.3,5000830.631,3.853,12986739,5000830631.0,3.642,12986739,5000830631.0,3.6726174354553223,1298673930.0
2025-01-07,3.88,9689740.0,3741067.135,3.88,9689740,3741067135.0,3.669,9689740,3741067135.0,3.69835352897644,968974000.0
2025-01-08,3.874,14097968.11,5440502.616,3.874,14097968,5440502616.0,3.663,14097968,5440502616.0,3.6926345825195312,1409796811.0
2025-01-09,3.866,8060658.05,3119907.404,3.866,8060658,3119907404.0,3.655,8060658,3119907404.0,3.685009002685547,806065805.0
2025-01-10,3.823,8265725.0,3179602.825,3.823,8265725,3179602825.0,3.612,8265725,3179602825.0,3.644021987915039,826572500.0
2025-01-13,3.808,9493947.0,3613570.705,3.808,9493947,3613570705.0,3.597,9493947,3613570705.0,3.629724502563477,949394700.0
2025-01-14,3.906,16445462.33,6369926.277,3.906,16445462,6369926277.0,3.695,16445462,6369926277.0,3.723136186599731,1644546233.0
2025-01-15,3.883,7420496.21,2886729.493,3.883,7420496,2886729493.0,3.672,7420496,2886729493.0,3.7012128829956055,742049621.0
2025-01-16,3.885,11090051.72,4322396.833,3.885,11090052,4322396833.0,3.674,11090052,4322396833.0,3.7031195163726807,1109005172.0
2025-01-17,3.898,8476992.95,3304922.19,3.898,8476993,3304922190.0,3.687,8476993,3304922190.0,3.715510845184326,847699295.0
2025-01-20,3.917,9202943.0,3619235.609,3.917,9202943,3619235609.0,3.706,9202943,3619235609.0,3.73362135887146,920294300.0
2025-01-21,3.922,7439264.4,2916284.005,3.922,7439264,2916284005.0,3.711,7439264,2916284005.0,3.738387107849121,743926440.0
2025-01-22,3.886,10996806.55,4270106.497,3.886,10996807,4270106497.0,3.675,10996807,4270106497.0,3.7040724754333496,1099680655.0
2025-01-23,3.897,10385928.39,4075002.566,3.897,10385928,4075002566.0,3.686,10385928,4075002566.0,3.7145578861236577,1038592839.0
2025-01-24,3.929,11436474.89,4485387.449,3.929,11436475,4485387449.0,3.718,11436475,4485387449.0,3.7450594902038574,1143647489.0
2025-01-27,3.907,13053849.64,5123431.141,3.907,13053850,5123431141.0,3.696,13053850,5123431141.0,3.724089384078979,1305384964.0
2025-02-05,3.887,7515497.1,2927530.877,3.887,7515497,2927530877.0,3.676,7515497,2927530877.0,3.7050259113311768,751549710.0
2025-02-06,3.932,13886364.82,5435915.349,3.932,13886365,5435915349.0,3.721,13886365,5435915349.0,3.7479190826416016,1388636482.0
2025-02-07,3.988,19306313.73,7669642.167,3.988,19306314,7669642167.0,3.777,19306314,7669642167.0,3.801297187805176,1930631373.0
2025-02-10,3.992,12672645.5,5055466.09,3.992,12672646,5055466090.0,3.781,12672646,5055466090.0,3.805110216140747,1267264550.0
2025-02-11,3.976,9990358.89,3973032.663,3.976,9990359,3973032663.0,3.765,9990359,3973032663.0,3.7898592948913574,999035889.0
2025-02-12,4.014,9789536.64,3903102.518,4.014,9789537,3903102518.0,3.803,9789537,3903102518.0,3.826080083847046,978953664.0
2025-02-13,4.004,11758226.96,4719508.133,4.004,11758227,4719508133.0,3.793,11758227,4719508133.0,3.816548585891723,1175822696.0
2025-02-14,4.034,12924286.8,5196144.834,4.034,12924287,5196144834.0,3.823,12924287,5196144834.0,3.845143795013428,1292428680.0
2025-02-17,4.041,13341020.06,5380966.546,4.041,13341020,5380966546.0,3.83,13341020,5380966546.0,3.851815938949585,1334102006.0
2025-02-18,4.012,12465910.63,5027787.885,4.012,12465911,5027787885.0,3.801,12465911,5027787885.0,3.824173927307129,1246591063.0
2025-02-19,4.033,10190768.58,4102654.822,4.033,10190769,4102654822.0,3.822,10190769,4102654822.0,3.844190835952759,1019076858.0
2025-02-20,4.021,10186034.98,4094980.472,4.021,10186035,4094980472.0,3.81,10186035,4094980472.0,3.8327524662017822,1018603498.0
2025-02-21,4.075,14372665.14,5834090.272,4.075,14372665,5834090272.0,3.864,14372665,5834090272.0,3.884224176406861,1437266514.0
2025-02-24,4.062,15385782.18,6256202.737,4.062,15385782,6256202737.0,3.851,15385782,6256202737.0,3.871832847595215,1538578218.0
2025-02-25,4.021,8924899.91,3596194.905,4.021,8924900,3596194905.0,3.81,8924900,3596194905.0,3.8327524662017822,892489991.0
2025-02-26,4.054,13456581.33,5430499.637,4.054,13456581,5430499637.0,3.843,13456581,5430499637.0,3.8642072677612305,1345658133.0
2025-02-27,4.067,11285856.42,4570197.712,4.067,11285856,4570197712.0,3.856,11285856,4570197712.0,3.876598834991455,1128585642.0
2025-02-28,3.994,13293340.0,5343803.359,3.994,13293340,5343803359.0,3.783,13293340,5343803359.0,3.807016372680664,1329334000.0
2025-03-03,3.981,11457686.13,4581300.848,3.981,11457686,4581300848.0,3.77,11457686,4581300848.0,3.7946250438690186,1145768613.0
2025-03-04,3.977,10121847.7,4019370.464,3.977,10121848,4019370464.0,3.766,10121848,4019370464.0,3.7908122539520264,1012184770.0
2025-03-05,3.994,11919016.42,4748819.507,3.994,11919016,4748819507.0,3.783,11919016,4748819507.0,3.807016372680664,1191901642.0
2025-03-06,4.049,13710078.79,5540793.752,4.049,13710079,5540793752.0,3.838,13710079,5540793752.0,3.8594412803649902,1371007879.0
2025-03-07,4.039,11559970.84,4671741.021,4.039,11559971,4671741021.0,3.828,11559971,4671741021.0,3.849909782409668,1155997084.0
2025-03-10,4.023,14427836.88,5792520.821,4.023,14427837,5792520821.0,3.812,14427837,5792520821.0,3.834658622741699,1442783688.0
2025-03-11,4.035,10029170.03,4027510.341,4.035,10029170,4027510341.0,3.824,10029170,4027510341.0,3.8460967540740967,1002917003.0
